,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
940,2018-10-18,139.669998,140.570007,137.889999,138.729996,138.729996,704200.0,704200.0,-0.94,-0.673,139.06333,"October 18, 18",-0.00673
941,2018-10-17,139.940002,140.929993,134.5,139.830002,139.830002,510400.0,510400.0,-0.11,-0.079,138.42,"October 17, 18",-0.00079
942,2018-10-16,138.600006,140.139999,137.899994,140.070007,140.070007,635700.0,635700.0,1.47,1.061,139.37,"October 16, 18",0.01061
943,2018-10-15,136.839996,139.070007,136.320007,137.979996,137.979996,680200.0,680200.0,1.14,0.833,137.79,"October 15, 18",0.00833
944,2018-10-12,137.169998,138.759995,135.550003,137.300003,137.300003,864100.0,864100.0,0.13001,0.095,137.20333,"October 12, 18",0.00095
945,2018-10-11,139.300003,139.410004,135.350006,136.070007,136.070007,1063000.0,1063000.0,-3.23,-2.319,136.94334,"October 11, 18",-0.02319
946,2018-10-10,142.259995,142.710007,139.330002,139.440002,139.440002,872800.0,872800.0,-2.81999,-1.982,140.49334,"October 10, 18",-0.01982
947,2018-10-09,142.570007,144.029999,141.839996,142.589996,142.589996,473700.0,473700.0,0.01999,0.014,142.82,"October 09, 18",0.00014
948,2018-10-08,142.080002,143.740005,141.080002,142.800003,142.800003,658800.0,658800.0,0.72,0.507,142.54,"October 08, 18",0.00507
949,2018-10-05,142.660004,143.270004,141.580002,141.75,141.75,494800.0,494800.0,-0.91,-0.638,142.2,"October 05, 18",-0.00638
950,2018-10-04,142.509995,143.110001,141.720001,142.669998,142.669998,398400.0,398400.0,0.16,0.112,142.5,"October 04, 18",0.00112
951,2018-10-03,143.660004,144.059998,142.800003,142.850006,142.850006,458400.0,458400.0,-0.81,-0.564,143.23667,"October 03, 18",-0.00564
952,2018-10-02,141.440002,142.919998,140.720001,142.899994,142.899994,675600.0,675600.0,1.45999,1.032,142.18,"October 02, 18",0.01032
953,2018-10-01,141.729996,142.419998,141.160004,141.75,141.75,572700.0,572700.0,0.02,0.014,141.77667,"October 01, 18",0.00014
954,2018-09-28,140.470001,141.690002,139.729996,140.940002,140.940002,1047500.0,1047500.0,0.47,0.335,140.78667,"September 28, 18",0.00335
955,2018-09-27,140.479996,142.949997,140.009995,140.789993,140.789993,532400.0,532400.0,0.31,0.221,141.25,"September 27, 18",0.00221
956,2018-09-26,142.759995,143.460007,139.830002,140.960007,140.960007,1076700.0,1076700.0,-1.79999,-1.261,141.41667,"September 26, 18",-0.01261
957,2018-09-25,145.100006,147.690002,142.690002,142.839996,142.839996,718500.0,718500.0,-2.26001,-1.558,144.40667,"September 25, 18",-0.01558
958,2018-09-24,147.889999,148.279999,144.979996,145.039993,145.039993,623500.0,623500.0,-2.85001,-1.927,146.1,"September 24, 18",-0.01927
959,2018-09-21,149.080002,149.399994,148.300003,148.479996,148.479996,987400.0,987400.0,-0.60001,-0.402,148.72666,"September 21, 18",-0.00402
960,2018-09-20,148.880005,149.460007,148.070007,148.5,148.5,472400.0,472400.0,-0.38001,-0.255,148.67667,"September 20, 18",-0.00255
961,2018-09-19,146.649994,148.75,145.919998,148.350006,148.350006,523400.0,523400.0,1.70001,1.159,147.67333,"September 19, 18",0.01159
962,2018-09-18,146.339996,146.520004,145.190002,146.089996,146.089996,604900.0,604900.0,-0.25,-0.171,145.93333,"September 18, 18",-0.00171
963,2018-09-17,147.270004,147.399994,146.009995,146.360001,146.360001,368500.0,368500.0,-0.91,-0.618,146.59,"September 17, 18",-0.00618
964,2018-09-14,146.789993,147.389999,144.149994,146.949997,146.949997,434800.0,434800.0,0.16,0.109,146.16333,"September 14, 18",0.00109
965,2018-09-13,146.669998,147.25,145.919998,146.580002,146.580002,393100.0,393100.0,-0.09,-0.061,146.58333,"September 13, 18",-0.00061
966,2018-09-12,148.0,148.029999,146.020004,146.199997,146.199997,367600.0,367600.0,-1.8,-1.216,146.75,"September 12, 18",-0.01216
967,2018-09-11,148.100006,148.839996,147.339996,148.320007,148.320007,433500.0,433500.0,0.22,0.149,148.16667,"September 11, 18",0.00149
